,проблема,ответ-скрипт,какие дальше дествия,,
Как подкючить колонку к приложению ?,для лампы цилирндр с часами 122,"Здравствуйте, уважаемый покупатель.  
Для установления приложения сделайте следующее:

1. вначале зарядить лампу около 2 часов 
2. включите выключатель сзади на панели, перещёлкнув его на ON. 
3. Нужно нажать на кнопку включения (самая правая), нажав на кнопку М можно выбрать режим чтения Корана или режим блютус. Также для этого можно использовать пульт  (вствьте батарейки, включите вкл. на пульте).
4. скачайте с коробки или с инструкции приложение Koran Player по QRкоду 
или найдите в своем телефоне приложение. 
если у вас Android, то из Google Play Store, 
если у вас iPhone или iPad, то App Store . 
5. включите bluetooth на своем телефоне, найдите сопражение Sq-122. 
6.включите bluetooth на своем телефоне, 
7. перейти в настройки bluetooth, 
8. включить поиск новых устройств. 
9. и там должен высветиться список новых доступных устройств для сопряжения. 
10. в нем выбираем Sq-122. 
11. начать, все подтвердить. 
12. после того как появится лампа в списке сопряженных устройств, заходим в приложение и там начать на значок настроен (самый правый), 
13. далее нажимаем на значок bluetooth, высвечивается 122 (название лампы), начать на него


Если не получается или есть еще вопросы напишите нам в чате поддержки покупателей по What сап 7 (962) 559-29-48. мы вам поможем
",,,
как установить приложение,,"Здравствуйте. приложение Koran Player, можете найти его в своем телефоне. если у вас Android, то из Google Play Store, если у вас iPhone или iPad, то App Store","скачайте, отсканировав QR-код с коробки или с инструкции",,
ссылки для установки приложения,,"Android https://equantu.com/uploads/KoranPlayer.apk

iOS https://apps.apple.com/cn/app/id1525651222 
",,,
Установил мобильное приложения. Есть там русский?,язык приложения в лампах,язык интерфейса только английском,,,
ссылка на видео подключения лампы,,https://youtu.be/WozsmtCb7zQ?si=IZdubb_HSb9FnCPR,,,
,,,,,
можно пользоваться лампой не скачивать приложение?,,"здравствуйте. можете пользоваться лампой просто через пульт, без приложения",,,
,,,,,
,чей перевод на русский?,"
перевод является трудом известного азербайджанского ученого Эльмира Кулиева",,,
,,,,,
скажите пожалуйста что написано на самой лампе ?,,Здравствуйте. перевод надписи Аль Куръэнил Карим,,,
Где найти аят Аль курси,,"2 сура Аль Бакара 255 аят Аль курси, отдельной кнопки нет, в старой версии пульта",,,
,,,,,
ручка Коран,,Здравствуйте.  +7 903 341-23-29 Юсуф,,,
,,,,,
доп.вопросы по лампам,,,,,
,негативный отзыв на лампы,"Алия, здравствуйте!

Спасибо за ваш отзыв, нам очень важно мнение каждого покупателя. Искренне сожалеем, что так низко его оценили. Нам очень жаль, что лампа не оправдала ваших ожиданий.

Мы внимательно относимся к каждому отзыву и хотим разобраться в возникшей ситуации. Пожалуйста, свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48, чтобы мы могли:

Уточнить конкретные проблемы с товаром (где именно у вас не получается управлять громкостью через пульт или через приложение)
Предложить возможные варианты решения или бесплатно вас проконсультировать по всем вопросам
При необходимости организовать замену или возврат
Для нас важно, чтобы каждый покупатель остался доволен покупкой. Будем благодарны, если вы поделитесь деталями вашего опыта использования лампы и по другому отнесетесь к ее оценке и измените количество звезд. мы очень стараемся предоставлять качественный товар по приемлемым ценам и предлагаем сопровождающую поддержку через чат поддержки.

С уважением,
Команда магазина MalDina.",,,
когда будет в наличии,для всех товаров,"Здраствуйте, уважаемый покупатель. товар уже поступил снова в продажу. С уважением команда MalDina.",,,
"могу забрать сегодня этот светильник , это подарок и очень эду его 🙏🏻",,ЗДРАСТВУЙТЕ УВАЖАЕМЫЙ ПОКУПАТЕЛЬ ПОСМОТРИТЕ В КАКОЕ ВРЕМЯ ОЖИДАЕТСЯ ДОСТАВКА,,,
что необходимо для возврата?,,"Добрый день, для начала свяжитесь с нами в чате поддержки по What сап 7 (962) 559-29-48. может что-то не так делаете. пришлите видео как включете лампу. если подтверждаетеся что брак. оформляйте заявку, прикладывайте фото , видео как работает от розетки , штрих коды товара, фото коробки. Будем рассматривать","Ханна, здравствуйте. купленный у нас то вар имеет гарантию. на эту модель гарантия 1 год. 
- если вы выявляете брак сразу на ПВЗ, вы не забираете товар домой, а возвращаете его с пометкой брак (но пожалуйста не оставляйте негативных отзывов с низкими оценками, чтоб не портить рейтинг товара.

- если вы принесли домой и выявили брак (не получается включить, не можете установить приложение, лампа не поет, какой-то не комплект или лампа не заряжается и прочее) просто свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48  и мы с радостью вам поможем и подскажем. очень много обращений именно на этот этапе разрешается. мы подсказываем и обучаем и лампы радуют вас долгие годы!!!

- если выявляется брак, мы подтверждаем его и вы делаете возврат товара с возвратом полной стоимости. рассматриваем вопрос в течении нескольких дней со дня обращения.

Ждем вас за покупками в нашем магазине.
мы всегда рады помочь и предоставляем качественный товар по лучшим ценам.

С уважением,
Команда магазина MalDina.",,
"На пвз возможно проверить? Возвратный товар, если проверить дома?",,"Здравствуйте, уважаемый товар. лучше всегда товар проверять на ПВЗ. товар конечно забираем на возврат при наличии брака. если, что-то не получается включить, настроить или какие-то вопросы пишите чуда через вопрос или через час с покупателями",,,
"можем вернуть лампу, если брали ее в 2023 году?",,"на лампы дают год гарантии, посмотрите по покупкам в личном кабинете. Можно вернуть по гарантии, если не прошел год",,,
,,,,,
можно ли сделать без пауз?,чтение на лампе с паузами,"к сожалению такой функции нет. аяты записаны отдельными файлами, так сделано специально. чтоб можно было пользоваться функцией слово в слова (для заучивания), чтоб можно было сделать повтор того же фрагмента. так что только так. с паузами",,,
,,,,,
"почему когда подключаю к блютузу,захожу в ютуб например,включаю что-то вообще ничего,подключена,а звука нету",блютуз,"Чтобы воспроизводить музыку с телефона (с ютуба), нужно на лампе включить блютус
Чтобы использовать приложение для лампы, Нужно подключиться к лампе по блютусу в настройках самого телефона, потом зайти в настройки приложения KoranPlayer, нажать на иконку с блютусом и проверить, появилась ли там лампа, нажать на название лампы",,,
Такой товар халяль?,,"здравствуйте. да, халяль",,,
можно использовать как арома диффузор??Это как использовать эту функцию??Куда можно капать арабский аромат??,,"Здравствуйте, Анастасия. к сожалению такой функции нет в наших лампах",,,
"Здравствуйте, можно ли добавить чтеца с телефона который отсутствует в лампе?",,"Shehzade, здравствуйте. такой функции нет. но возможно использовать лампу, читающую Коран как колонку, подключится по блютуз и включать любые аудио файлы. еще будут вопросы или нужна консультация, свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48 и мы поможем вам",,,
а там можно вставить флешку с музыкой?,,"Добрый день, в данной модели разъём для флешки отсутствует. та флешка, которая есть в моделе со съемной флешкой нужна для замены при браке. музыку можно слушать подключив лампу как колонку по блютуз и запустить на ней любое аудио ",,,
"включила лампу заряжать (она была выключена) , при подсоединении к электричеству, она мигает (то есть прямо во время зарядки) - это нормально ?",,"здравствуйте. Да, так и должно быть. Когда заряжается моргает, после окончания зарядки просто горит",,,
КНОПКА АЗАН НА ПУЛЬТЕ ЧТО ВЫПОЛНЯЕТ( лампа с Флешкой),,"Здраствуйте, уважаемый покупатель. В этой моделе лампы АЗАН нельзя настроить. кнопка для самостоятельного включения и выключения АЗАНА",,,
,лампа цилиндр,"Здравствуйте, да в этой модели есть АЗАН и об этом мы пишем на обложке, в слайдах и в описании товара. ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
АССАЛАМУ АЛЕЙКУМ. ЛАМПЕ ЕСТЬ ФС РАДИО mp3mp ПЛЕЕР АЗАН,,"Ва алейкум ассалям. В лампе нет радио, нет mp3mp, нет ПЛЕЕР. можно включать как колонку через блютуз. и через нее слушать и музыку и радио. Ждём за новыми покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
,как использовать как колонку,"чтоб включить лампу как колонку, сделайте следующим образом: 1. зарядить лампу. 2. включить прикоснувшись к сенсорной кнопке. 3. Включить лампу с помощью пульта, нажав на кнопку включения
4. Нажать на кнопку блютуса на пульте, чтобы прозвучало ""Bluetooth mode on""
5. Включить блютус на телефоне и найти лампу в доступных к сопряжению устройствах
6. Подключиться к лампе
Теперь можно воспроизводить любые файлы на телефоне, используя лампу в качестве беспроводной колонки                                                                       Записывать на флешку свои файлы не получится - воспроизводить не будет",,,
Азан по времени включается?,лампы с флешкой,"Ва алейкум ассалям. В этой моделе только самостоятельное включение Азана через пульт или приложение. По времени, чтоб лампа читала сама, можно настроить только у лампы цилиндра с часами Артикул WB: 45710686 или у лампы цилиндра без часов Артикул WB: 211880898. если надо помощь в выборе, свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48. Ждём за новыми покупками, вам всегда рады. С уважением команда MalDina.",,,
,АЗАН в лампе цилиндр с часами,"1. Зарядите лампу около 2 часов.
2. Включите лампу, нажав кнопку на задней стороне.
3. Включите подсветку, прикоснувшись к верхней части лампы.
4. Скачайте приложение Koran Player по QR-коду с коробки или инструкции. Если у вас Android, найдите приложение в Google Play Store, если iPhone или iPad — в App Store.
5. Включите Bluetooth на телефоне.
6. Найдите устройство с названием ""Sq-122"" в списке доступных устройств.
7. Сопрягите телефон с лампой, выбрав ""Sq-122"".
8. Откройте приложение Koran Player.
9. Перейдите в настройки приложения (самый правый значок).
10. Нажмите на значок Bluetooth и выберите ""Sq-122"".
11. В настройках выберите функцию ""Азан"".
12. Установите время для своего региона.
13. После настройки времени в приложении, долго нажмите на кнопку ""Азан"" на пульте.
14. Проверьте, что время на лампе установлено правильно.
15. Если всё верно, лампа будет призывать к молитве в установленное время.","Или заменить все это на ""подключитесь к лампе с помощью приложения, в настройках приложения устаровите нужное время азана. Долгим нажатием на кнопуку ""azan"" на пульте включите функцию азана",,
как отключитьАЗАН с пульта?,АЗАН в лампе цилиндр,"отключить можно долгим нажатием на кнопку ""Azan""",,,
,,,,,
имеется ли такой вариант лампы что б не было нашидов и восточных мелодий?,лампы с флешкой,"Здравствуйте, уважаемый покупатель. Нашиды есть у всех моделей наших ламп. У нас нашиды без музыки только. если не хотят слушать нашиды, не используют функцию. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
имеется ли такой вариант лампы что б не было нашидов и восточных мелодий?,"лампы ТАТ, цилиндры","Здравствуйте, уважаемый покупатель. Нашиды есть у всех моделей наших ламп. если не хотят слушать нашиды, не используют функцию. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
"азан не «проигрывается» по местному времени, на кнопку « азан» нужно нажимать каждый раз ?",модели с флешкой 168 и 512,"А так, если не хотят слушать нашиды, пусть не используют функцию",,,
время для азана как настроить? будет высвечиваться?,модели с флешкой 168 и 512,,,,
Лампа читает только Азан и Рукью? Или другие суры тоже? Без блютуз подключения,sq112,"Здравствуйте, уважаемый покупатель. в лампе есть АЗАН. есть весь Коран целиком. можно выбрать разных чтецов и языки. лампа подключается берез блютуз с приложения или можно просто управлять через пульт. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
"Пришлите, пожалуйста, инструкцию для лампочки для розетки",sq102 лампочка-лампочка,"Здравствуйте, уважаемый покупатель. попробуйте скачать инструкцию по ссылке https://disk.yandex.ru/d/pB_H78P0A1iz0A  если не получиться напишите нам в чат поддержки на наш What сап 7 (962) 559-29-48. мы пришлем вам его картинкой в формате .jpg С наилучшими пожеланиями, Команда магазина MalDina.",,,
,,,,,
Ассалямуалейкум можно будет на лампе включать через телефон не только Коран? как колонку использовать,,"Ва алейкум ассалям. да, можно",,,
"сколько сур читает лампа? и как переключить на русский? что они читают на русском, перевод сур?",,"Здравствуйте, уважаемый покупатель. лампа читает весь Коран. если надо помощь, свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48. если будут вопросы спрашивайте. постараемся вам помочь. С наилучшими пожеланиями, Команда магазина MalDina.","Суры - это составные части Корана (главы), всего их 114.  Лампа читает полный Коран (все суры).",,
 без подключения к телефону что читает лампа,,"здравствуйте. с пульта все тоже самое, что и с помощью приложения. с пульта можно переключать цвета, менять яркость, регулировать звук, выбирать чтецов и язык перевода, слушать повторно...) Ждем Вас в числе наших покупателей! Надеемся, что наш товар принес Вам удовольствие! С уважением, Команда магазина MalDina.",,,
сколько всего аятов тут читают?,,"Здравствуйте, уважаемый покупатель. лампа читает полный Коран. ждем за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
потеряли пульт можете дать ссылку ДЛЯ ПОКУПКИ,пульт для ВБ,Здравствуйте. пульт для ламп Артикул WB: 152091010. ждем за покупками в нашем магазине. С уважением команда MalDina.,,,
"светильник пришёл без пульта. как оформить дозаказ, чтобы привезли пульт?",,"Добрый день! Мы тщательно проверяем комплектацию и работоспособность наших товаров перед отправлением на склад , отследить где именно и при каких обстоятельствах был утерян пульт нам не представляется возможным. Поэтому сотрудники ПВЗ всегда просят проверять товар на месте. можете дозаказать пульт для ламп Артикул WB: 152091010. Благодарим за покупку!",,,
У меня проблемы с пультом. Он не подключается к лампе. Могу ли я купить пульт отдельно,пульт для ОЗОН,"здравствуйте. благодарим вас, что вы решаете проблемы и задаете вопрос. у нас есть в продаже пульты для наших ламп, но хотим предупредить если лампы покупали не у нас, то это могут быть другие модели. пульт можно купить, арт на ОЗОН 1759013127",,,
есть инструкция и пульт на арабском языке ?,Sq168tat,"Здравствуйте, уважаемый покупатель. в этой моделе лампы, в зависимости от партии пульт, коробка и инструкция может быть как на арабском, так и на русском. Об этом мы предупреждаем на слайдах в карточке. партии при поступлении перемешались, поэтому подсказать точно не сможем",,,
"ассаламу алайкум, почему так резко поднялись цены",,"Ва алейкум ассалям. подпишитесь на магазин, положите товар в корзину и следите за скидками и акциями. и покупайте по приемлемой цене. ждем новой партии товара в ближайшее время. успейте купить по хорошей цене. приятных покупок в нашем магазине. С уважением команда MalDina.",,,
,,"Здравствуйте. подписывайтесь на наш магазин. добавляйте товар в корзину, отслеживайте наши скидки и акции. и обязательно подберете для себя подходящую стоимость ее. Будем рады видеть вас в числе наших покупателей и в будущем. С наилучшими пожеланиями, Команда магазина MalDina.",,,
Здравствуйте. А будильниа емть у лампы?,,"Анна, здравствуйте. к сожалению функции будильника нет.",,,
есть режим звучания Корана без света?,,"Лейла, здравствуйте. к сожалению нет. сама лампа включается и горит. это признак, что вы ее включили верно и она заряжена и можно далее ею управлять. но чтоб не мешало освещение. можно выбрать нейтральный и приятный для вас цвет (там их 7) и сделать минимальную яркость. Будем рады видеть вас в числе наших покупателей и в будущем. С наилучшими пожеланиями, Команда магазина MalDina.",,,
,,,,,
,,,,,
,,,,,
,,,,,
сколько держится зарядка лампа луна?,,"Здравствуйте, уважаемый покупатель. Это модель заряжается 1,5-2 ч, держит заряд от 4 до 12 часов. в зависимости от настроек (яркость, громкость). ждем за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
"Заряжала несколько часов. Индикатора зарядки нет, не понятно на сколько заряжен",,"Здравствуйте!

Спасибо за ваш отзыв. Нам очень жаль, что лампа не оправдал ваших ожиданий. Очень огорчены, что оценили нашу лампу на 2 звезды.
В комплекте есть подробная инструкция, а также алгоритм включения лампы. Во время зарядки лампа минает зеленым, когда зарядилась - горит зеленым без мигания. 
Мы внимательно относимся к каждому отзыву и хотим разобраться в возникшей ситуации. При возникновении трудностей или вопросов, рекомендуем обращаться в наш чат поддержки (в будние дни). Пожалуйста, свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48, чтобы мы могли:

Уточнить конкретные проблемы с товаром
Предложить возможные варианты решения
При необходимости организовать замену или возврат
Для нас важно, чтобы каждый покупатель остался доволен покупкой. Всегда рады обратно связи и готовы делать наш сервис еще лучше.

С уважением,
Команда магазина MalDina.","Для нас важно, чтобы каждый покупатель остался доволен покупкой. Всегда рады обратно связи и готовы делать наш сервис еще лучше и забитится о наших клиентах. стараемся предоставлять тольок качественный товар. будем благодарны, если вы поделитесь деталями вашего опыта использования наших товаров- это поможет нам улучшить качество товара и сервис.",,
"здравствуйте,а как лампа показывает то что она заряжается?",,"здравствуйте, уважаемый покупатель. Моргает зеленым, когда зарядилась горит без моргания.",,,
сколько зарядается лампа Луна по времеми? сколько держит заряд?,,"здравствуйте, уважаемый покупатель. эта модель лампы заряжается около 2 часов и работает до 12 часов, она сообщает о том что необходима подзарядка",,,
"здравствуйте, подскажите пожалуйста сколько часов светильник луна может работать без сети, если например свет отключили?",,"Добрый день , заряжать светильник необходимо минимум 2 часа, время работы после зарядки до 12 часов. Также светильник работает при подключенном шнуре зарядки.",,,
,,,,,
"Здравствуйте! Скажите пожалуйста, на этой лампе с часами есть функция где самые популярные суры выведены в отдельные кнопки?",,"Здравствуйте, уважаемый покупатель. В цилиндре нет такой функции. у нас есть уникальная модель лампа Луна, Артикул WB: 270869273  и лампа Вселенном, Артикул WB: 271020758 на них самые популярные суры выведены в отдельные кнопки на пульте.",,,
,,,,,
,,,,,
,,,,,
"Как сделать, чтобы устройство читал суры всю ночь?",,"Здравствуйте, уважаемый покупатель. в лампе есть таймер, его можно установить на 30/60 или 90 мин. лампа почитает и сама отключится. можно и установить лампу на тихий звук и минимальную яркость, при этом выбрав понравившийся вам цвет освещения, зарядив ее перед этим обязательно. и лампа будет читать Коран целую ночь. если у вас будут еще вопросы или будет нужна еще какая-то помощь обращайтесь к нам в чат поддержки покупателей по номеру What сап 7 (962) 559-29-48. мы всегда рады помочь нашим покупателям",,,
"На ночь не хватает, разряжается(",,"Здравствуйте, уважаемый покупатель. Благодарим за обратную связь. 
1. для начала не забывайте заряжать около 3 часов перед использованием (может просто заряда не хватает, тк не зарядили до конца. сигналом о том, что лампа заряжена, является зеленый огонек около входа подзарядки). 

2. сделайте звук на минимуме и настройте минимально яркость перед использованием на длительное время. 

3. можете ставить на таймер 30/60/90 мин (после этого сама лампа отключится). 

4. либо подключить к питанию и оставьте на подзарядке от сети, если  планируете ее длительное использование освещения и чтении Корана всю ночь. 

если будут еще вопросы пишите нам в чат поддержки по What сап 7 (962) 559-29-48 мы с радостью поможем вам и ответим на все ваши вопросы.

уверены, что лампа вам прослужит многие годы и будет доставлять вам только радостные моменты.
 С наилучшими пожеланиями, Команда магазина MalDina.",,,
"Здравствуйте Хочу заказать лампу на подарок , боюсь будет не рабочая",,для уверенности лучше взять с собой адаптер для розетки и проверить на пвз. приятных вам покупок в нашем магазине. С уважением команда MalDina.,,,
когда заряжается он лампа должна мигать? это нормально? сколько по времени заряжается ?,sq168flash,"Здравствуйте, да может моргать. зарядить около 2 часов. как заряд закончится лампа сама предупреждает, что ее надо зарядить вновь. если будут еще вопросы можете обратиться к нам в чат покупателей по What сап 7 (962) 559-29-48, мы с удовольствие дадим вам ответ на любой ваш вопрос",,,
,,,,,
другой дизайн лампы есть? ,,"Юлия, здравствуйте. Да, в нашем магазине есть сейчас несколько вариантов ламп. По функционалу они все подобные (везде инструкция на русском языке, везде 7 цветов подсветки и 10 вариантов настройки яркости, можно настраивать громкость звука как вам удобно, на всех моделях записан весь Коран целиком). Но есть модели с разным цветом (лампа Вселенная, она в выключенном состоянии темная разводами как планета, Лампа Луна в выключенном состоянии она белая. В каждой модели разное количество чтецов. Разное количество языков. Есть модели полностью руссифицированные (это когда и коробка и инструкция и пульт на русском), но в самой лампе можно слушать Коран на разных языках. Полистайте в Валберис наш бренд ламп MalDina Lamps. есть уникальная модель со съемной флешкой (читайте внимательно в описании на слайдах каждой лампы). Флешка нужна только в том случае, что б если какой-то брак .ее можно перезаказать Артикул WB: 296022245. Сможете вынуть старую и вставить новую. Саму флешку вы не сможете использовать или записывать на нее что-то самостоятельно. В этой же уникальный моделе лампах с флешкой на пульте есть специальные кнопки с вынесенными на отдельные кнопки русским и татарским языком и суры самых популярные суры. Будут еще вопросы спрашивайте, постараемся вам все разъяснить и подсказать. если надо помощь, свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
какие еще лампы на ВБ,для ВБ,"Елизавета, здравствуйте. эта флешка предназначена специально для наших ламп, которые вы можете приобрести в нашем магазине. она отдельно работать не будет. мы предлагаем ее покупать нашим клиентам при необходимости и компенсируем ее стоимость. предлагаем вам обратить внимание на наши лампы, читающие Коран, они у нас есть разных видов. лампа вселенная Артикул WB: 271020758, лампа луна Артикул WB: 270869273, лампа цилиндр с часами Артикул WB: 45710686, лампа цилиндр без часов Артикул WB: 211880898, лампа-динамик в виде лампочки, читающая Коран Артикул WB: 311260435. 
если надо помощь, свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48. 

ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
,для ОЗОН,"Анастасия, здравствуйте. у нас есть несколько видов ламп, читающие Коран на ОЗОН. лампа вселенная со сьемной флешкой Артикул 1728630667, лампа луна со сьемной флешкой Артикул 1728614518, В этой моделе меньше языков, оставили самые восстребованные, но больше чтецов, можно включать Азана с пульта самостоятельно. лампа Вселенная с татарским артикул 464097909, лампа Луна с татарским артикул 389862508, Лампа в виде шара на подставке. В этой моделе лампа цилиндр с часами Артикул 464097890.
если надо помощь, свяжитесь с нами по ват. сап 7, 9 шесть 2 5 пять 9 два 9 четыре 8. полее подробно сможем пояснить и общаться с нами там удобней. С уважением команда MalDina.",,,
,Артикул WB: 270869273 лампа с флешкой Луна 168,"Артикул WB: 270869273. 19 чтецов на арабском. 7 цветов, 10 видов ярости освещения лампы. приложение можно установить (и оно на английском), можно по блютузу пользоваться как колонкой и использовать как ночник, включать чтение Корана, ставить таймер 30/60/90 мин
 7 языков перевода (русский и татарский в том числе, но выберите просто лампу на каком языке будете слушать, арабский, русский и татарский есть везде в наших лампах) , инструкция, пульт, коробка на русском. здесь отличие на пульте в том, что вынесены отдельными кнопками русский и татарский и самые популярные суры, с помощью этих кнопок можно легко переключатся). здесь есть кнопка АЗАН на пульте. можете ее нажимая включать самостоятельно АЗАН и выключать в конце.",,,
,Артикул WB: 45708484 лампа Луна 168,"Артикул WB: 45708484. год гарантии, 18 чтецов на арабском, 15 языков перевода, 7 цветов подсветки, можно менять яркость, использовать как ночник, есть таймер на 30/60/90мин, может читать всю ночь весь Коран, есть инструкция, пульт и коробка на русском, можно установить приложение (но она везде на английском, пользоваться им не сложно, если в чем то не разберетесь пишите подскажем всегда",,,
,Артикул WB: 45710686. цилиндр с часами 122,"Артикул WB: 45710686. 14 чтецов на арабском. 7 цветов, 10 видов ярости освещения лампы. можно по блютузу пользоваться как колонкой и использовать как ночник, включать чтение Корана, ставить таймер 30/60/90 мин
 16 языков перевода (русский и татарский в том числе) , инструкция, пульт, коробка на русском. здесь есть возможность установить из приложения АЗАН по времени вашего региона, и он будет делать призыв. ",,,
Там же два одинаковых товара один с часами другой без часов а как они работают которые с часами,,"Здравствуйте. лампа цилиндр с часами Артикул WB: 45710686: 14 чтецов на арабском. 7 цветов, 10 видов ярости освещения лампы. можно по блютузу пользоваться как колонкой и использовать как ночник, включать чтение Корана, ставить таймер 30/60/90 мин. тоже 16 языков перевода (русский и татарский в том числе) , инструкция, пульт, коробка на русском. здесь есть возможность установить из приложения АЗАН по времени вашего региона, и он будет делать призыв. можно установить часы на передней панеле.  Лампа цилиндр без часов Артикул WB: 211880898: все тоже кроме призыва на АЗАН его в этой моделе можно запускать с пульта, часов нет",,,
